Illinois,2008,1065750,1461607,8068047,11,68,124,9.862,46.43,15.337
Indiana,2008,529845,679069,4034745,6,34,47,10.912,49.72,11.764
Iowa,2008,240105,339894,1905387,3,12,13,11.132,36.44,6.648
Kansas,2008,229136,321796,1723761,3,16,16,11.13,49.723,9.368
Kentucky,2008,336896,428585,2771834,3,19,26,10.244,43.73,9.317
Louisiana,2008,370950,523818,2716104,3,25,56,8.429,47.748,20.759
Maine,2008,99629,125205,902774,1,10,15,11.332,76.657,16.867
Maryland,2008,459954,611079,3612130,4,25,45,8.702,40.274,12.373
Massachusetts,2008,498720,758227,4263188,6,54,75,11.764,71.615,17.636
Michigan,2008,842712,1086902,6402870,9,62,95,10.532,57.399,14.91
Minnesota,2008,421196,574322,3344152,5,29,43,11.208,51.352,12.728
Mississippi,2008,252527,331040,1778519,2,10,20,6.28,31.461,11.365
Missouri,2008,482442,626322,3786858,5,36,58,10.014,57.447,15.227
Montana,2008,76196,105444,629651,1,8,10,11.676,76.043,15.806
Nebraska,2008,144863,208854,1100620,2,10,12,11.031,46.078,10.598
Nevada,2008,214026,246764,1668924,3,17,30,15.019,67.209,17.941
New Hampshire,2008,106508,133724,880070,1,12,17,12.311,89.66,19.788
New Jersey,2008,702953,871610,5658877,7,43,75,10.376,49.317,13.265
New Mexico,2008,163513,227941,1230799,2,15,18,12.966,65.519,14.741
New York,2008,1535172,2262614,12574826,17,165,254,10.861,73.087,20.194
North Carolina,2008,727969,947518,5878891,7,46,105,9.289,49.036,17.909
North Dakota,2008,48559,88745,395073,1,3,3,10.491,37.83,6.77
Ohio,2008,939669,1213022,7401492,10,55,77,10.244,45.12,10.468
Oklahoma,2008,293240,409494,2253581,3,19,22,11.389,47.03,9.697
Oregon,2008,292301,386957,2507377,4,31,49,12.327,80.442,19.538
Pennsylvania,2008,980441,1342616,8192882,11,79,149,10.849,58.599,18.202
Rhode Island,2008,81128,127468,679594,1,12,22,12.796,93.927,31.691
South Carolina,2008,356186,469765,2872669,3,23,75,8.335,49.714,26.208
South Dakota,2008,64983,90798,500732,1,4,4,9.518,39.079,7.092
Tennessee,2008,494043,622376,4049989,5,27,50,9.327,43.119,12.291
Texas,2008,2113980,2737418,14523007,25,139,203,11.597,50.885,13.97
Utah,2008,252460,376060,1500232,3,16,12,11.627,41.42,7.997
Vermont,2008,47705,68523,419240,1,7,9,12.247,101.738,20.471
Virginia,2008,604833,835958,4928699,6,41,64,10.241,49.454,12.969
Washington,2008,522369,685351,4262578,6,43,65,12.003,62.419,15.149
West Virginia,2008,132189,176668,1229556,1,14,24,10.502,76.547,19.267
Wisconsin,2008,450304,615402,3632151,5,45,77,11.895,72.731,21.33
Wyoming,2008,42168,60175,339021,0,3,3,11.269,52.456,8.297
Alabama,2009,375942,515510,2993410,3,13,24,6.722,26.142,8.094
Alaska,2009,58753,81679,414553,1,5,8,8.82,59.048,18.125
Arizona,2009,538672,698979,4111148,6,39,59,11.118,56.194,14.435
Arkansas,2009,231881,301928,1833369,2,9,16,8.511,28.362,8.957
California,2009,3101979,4325900,22773074,40,244,352,12.775,56.414,15.478
Colorado,2009,381533,549726,3192744,4,46,75,11.5,84.428,23.605
Connecticut,2009,283906,375156,2285109,3,19,28,10.376,51.272,12.062
Delaware,2009,67805,94200,572665,1,5,8,8.683,48.838,14.067
District of Columbia,2009,34683,86622,392811,0,4,12,3.803,42.613,31.289
Florida,2009,1336737,1850052,12361513,12,93,182,8.769,50.496,14.722
Georgia,2009,820145,1050786,6022823,6,36,69,6.837,34.194,11.478
Hawaii,2009,91104,131160,827725,1,6,10,8.722,43.569,12.192
